start,end,time,year
81234,43481,1951-03-01,1951
32299,56238,1950-03-01,1950
32299,39765,1950-03-01,1950
32299,11286,1952-03-01,1952
32299,103199,1952-03-01,1952
39765,56238,1950-03-01,1950
39765,111048,1950-03-01,1950
86282,39765,1950-03-01,1950
23319,111048,1950-03-01,1950
77945,41744,1950-03-01,1950
77945,27561,1950-03-01,1950
40024,32516,1950-03-01,1950
45160,40024,1950-03-01,1950
45160,13693,1951-03-01,1951
91264,45160,1950-03-01,1950
91264,32516,1950-03-01,1950
39898,45160,1950-03-01,1950
13254,32516,1950-03-01,1950
13254,57839,1950-03-01,1950
13254,41496,1952-03-01,1952
13254,32596,1952-03-01,1952
57839,32516,1950-03-01,1950
57839,91264,1950-03-01,1950
45214,57839,1950-03-01,1950
4944,91264,1950-03-01,1950
45007,40024,1950-03-01,1950
45007,42376,1950-03-01,1950
11986,45160,1950-03-01,1950
11986,13693,1951-03-01,1951
11986,44443,1951-03-01,1951
55483,91264,1950-03-01,1950
42376,40024,1950-03-01,1950
42376,45160,1950-03-01,1950
106142,106369,1951-03-01,1951
106218,106142,1951-03-01,1951
106218,11552,1951-03-01,1951
53519,11552,1951-03-01,1951
53519,54438,1951-03-01,1951
13008,106218,1951-03-01,1951
13008,86845,1953-03-01,1953
80329,11552,1951-03-01,1951
80329,106218,1951-03-01,1951
45106,80329,1951-03-01,1951
95766,106369,1951-03-01,1951
95766,57437,1951-03-01,1951
57437,106369,1951-03-01,1951
57437,106142,1951-03-01,1951
57648,57437,1951-03-01,1951
57648,71889,1952-03-01,1952
57648,11552,1952-03-01,1952
57648,86845,1953-03-01,1953
57648,32554,1953-03-01,1953
74149,106142,1951-03-01,1951
58001,80329,1951-03-01,1951
55917,58001,1951-03-01,1951
54438,11552,1951-03-01,1951
54438,106218,1951-03-01,1951
110862,106218,1951-03-01,1951
103949,80329,1951-03-01,1951
44343,57437,1951-03-01,1951
95746,41789,1951-03-01,1951
95746,70529,1955-03-01,1955
95746,28076,1955-03-01,1955
56856,106142,1951-03-01,1951
11570,55917,1951-03-01,1951
44311,110223,1951-03-01,1951
41477,44311,1951-03-01,1951
44348,46919,1951-03-01,1951
88308,41804,1951-03-01,1951
88308,41477,1952-03-01,1952
88308,59696,1952-03-01,1952
88308,54582,1953-03-01,1953
41732,41477,1951-03-01,1951
41732,85713,1952-03-01,1952
20666,41732,1951-03-01,1951
41804,110223,1951-03-01,1951
41804,46919,1951-03-01,1951
41804,59696,1952-03-01,1952
41804,33550,1952-03-01,1952
11647,41804,1951-03-01,1951
57451,41477,1951-03-01,1951
30225,44311,1951-03-01,1951
30225,91231,1951-03-01,1951
30225,109300,1954-03-01,1954
30834,91231,1951-03-01,1951
41833,110223,1951-03-01,1951
41833,46919,1951-03-01,1951
41833,54598,1955-03-01,1955
51122,41800,1951-03-01,1951
12951,33354,1951-03-01,1951
